year;universityId;subjectAreaId;InstitutionalValue;InternationalValue;NationalValue;SingleAuthorshipValue;InstitutionalPercentageValue;InternationalPercentageValue;NationalPercentageValue;SingleAuthorshipPercentageValue
2012;AGH University of Science and Technology;Multidisciplinary;2.0;5.0;0.0;0.0;28.57143;71.42857;0.0;0.0
2013;AGH University of Science and Technology;Multidisciplinary;0.0;3.0;3.0;0.0;0.0;50.0;50.0;0.0
2014;AGH University of Science and Technology;Multidisciplinary;3.0;7.0;2.0;3.0;20.0;46.666668;13.333334;20.0
2015;AGH University of Science and Technology;Multidisciplinary;2.0;15.0;7.0;8.0;6.25;46.875;21.875;25.0
2016;AGH University of Science and Technology;Multidisciplinary;2.0;8.0;3.0;2.0;13.333334;53.333336;20.0;13.333334
2017;AGH University of Science and Technology;Multidisciplinary;3.0;15.0;6.0;8.0;9.375;46.875;18.75;25.0
2018;AGH University of Science and Technology;Multidisciplinary;2.0;4.0;4.0;5.0;13.333334;26.666668;26.666668;33.333336
2019;AGH University of Science and Technology;Multidisciplinary;3.0;9.0;5.0;11.0;10.714286;32.142857;17.857143;39.285713
2020;AGH University of Science and Technology;Multidisciplinary;1.0;9.0;10.0;2.0;4.5454545;40.909092;45.454548;9.090909
2021;AGH University of Science and Technology;Multidisciplinary;3.0;20.0;11.0;8.0;7.1428576;47.61905;26.190477;19.047619
2022;AGH University of Science and Technology;Multidisciplinary;6.0;55.0;12.0;2.0;8.0;73.333336;16.0;2.6666667
2023;AGH University of Science and Technology;Multidisciplinary;2.0;5.0;1.0;1.0;22.222223;55.555557;11.111112;11.111112
2012;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Białystok University of Technology;Multidisciplinary;0.0;2.0;0.0;0.0;0.0;100.0;0.0;0.0
2015;Białystok University of Technology;Multidisciplinary;0.0;1.0;1.0;0.0;0.0;50.0;50.0;0.0
2016;Białystok University of Technology;Multidisciplinary;0.0;2.0;0.0;0.0;0.0;100.0;0.0;0.0
2017;Białystok University of Technology;Multidisciplinary;0.0;1.0;3.0;0.0;0.0;25.0;75.0;0.0
2018;Białystok University of Technology;Multidisciplinary;0.0;0.0;2.0;0.0;0.0;0.0;100.0;0.0
2019;Białystok University of Technology;Multidisciplinary;0.0;1.0;1.0;0.0;0.0;50.0;50.0;0.0
2020;Białystok University of Technology;Multidisciplinary;1.0;0.0;7.0;1.0;11.111112;0.0;77.77778;11.111112
2021;Białystok University of Technology;Multidisciplinary;2.0;5.0;5.0;1.0;15.384616;38.46154;38.46154;7.692308
2022;Białystok University of Technology;Multidisciplinary;0.0;3.0;3.0;1.0;0.0;42.857143;42.857143;14.285715
2023;Białystok University of Technology;Multidisciplinary;0.0;0.0;2.0;0.0;0.0;0.0;100.0;0.0
2012;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Cracow University of Technology;Multidisciplinary;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.0
2015;Cracow University of Technology;Multidisciplinary;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.0
2016;Cracow University of Technology;Multidisciplinary;0.0;1.0;0.0;1.0;0.0;50.0;0.0;50.0
2017;Cracow University of Technology;Multidisciplinary;3.0;3.0;2.0;0.0;37.5;37.5;25.0;0.0
2018;Cracow University of Technology;Multidisciplinary;1.0;2.0;3.0;1.0;14.285715;28.57143;42.857143;14.285715
2019;Cracow University of Technology;Multidisciplinary;1.0;4.0;4.0;3.0;8.333334;33.333336;33.333336;25.0
2020;Cracow University of Technology;Multidisciplinary;3.0;0.0;1.0;2.0;50.0;0.0;16.666668;33.333336
2021;Cracow University of Technology;Multidisciplinary;1.0;4.0;3.0;0.0;12.5;50.0;37.5;0.0
2022;Cracow University of Technology;Multidisciplinary;0.0;16.0;3.0;0.0;0.0;84.210526;15.789473;0.0
2023;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2012;University of Białystok;Multidisciplinary;None;None;None;None;None;None;None;None
2013;University of Białystok;Multidisciplinary;2.0;3.0;0.0;0.0;40.0;60.000004;0.0;0.0
2014;University of Białystok;Multidisciplinary;0.0;2.0;0.0;0.0;0.0;100.0;0.0;0.0
2015;University of Białystok;Multidisciplinary;0.0;1.0;1.0;0.0;0.0;50.0;50.0;0.0
2016;University of Białystok;Multidisciplinary;0.0;1.0;1.0;0.0;0.0;50.0;50.0;0.0
2017;University of Białystok;Multidisciplinary;0.0;5.0;1.0;0.0;0.0;83.33333;16.666668;0.0
2018;University of Białystok;Multidisciplinary;1.0;3.0;4.0;0.0;12.5;37.5;50.0;0.0
2019;University of Białystok;Multidisciplinary;1.0;3.0;3.0;0.0;14.285715;42.857143;42.857143;0.0
2020;University of Białystok;Multidisciplinary;2.0;6.0;7.0;0.0;13.333334;40.0;46.666668;0.0
2021;University of Białystok;Multidisciplinary;1.0;8.0;7.0;0.0;6.25;50.0;43.75;0.0
2022;University of Białystok;Multidisciplinary;0.0;28.0;3.0;1.0;0.0;87.5;9.375;3.125
2023;University of Białystok;Multidisciplinary;0.0;1.0;2.0;0.0;0.0;33.333336;66.66667;0.0
2012;Warsaw University of Technology;Multidisciplinary;0.0;4.0;3.0;1.0;0.0;50.0;37.5;12.5
2013;Warsaw University of Technology;Multidisciplinary;1.0;1.0;0.0;2.0;25.0;25.0;0.0;50.0
2014;Warsaw University of Technology;Multidisciplinary;3.0;2.0;5.0;5.0;20.0;13.333334;33.333336;33.333336
2015;Warsaw University of Technology;Multidisciplinary;8.0;6.0;5.0;1.0;40.0;30.000002;25.0;5.0
2016;Warsaw University of Technology;Multidisciplinary;5.0;10.0;3.0;0.0;27.777779;55.555557;16.666668;0.0
2017;Warsaw University of Technology;Multidisciplinary;10.0;11.0;6.0;6.0;30.303032;33.333336;18.181818;18.181818
2018;Warsaw University of Technology;Multidisciplinary;1.0;13.0;3.0;5.0;4.5454545;59.090908;13.636364;22.727274
2019;Warsaw University of Technology;Multidisciplinary;2.0;8.0;12.0;1.0;8.695652;34.782608;52.173912;4.347826
2020;Warsaw University of Technology;Multidisciplinary;1.0;16.0;7.0;1.0;4.0;64.0;28.0;4.0
2021;Warsaw University of Technology;Multidisciplinary;6.0;12.0;12.0;3.0;18.181818;36.363636;36.363636;9.090909
2022;Warsaw University of Technology;Multidisciplinary;9.0;53.0;12.0;5.0;11.392405;67.08861;15.189873;6.329114
2023;Warsaw University of Technology;Multidisciplinary;3.0;8.0;7.0;0.0;16.666668;44.444447;38.88889;0.0
2012;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2015;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2016;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2017;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2018;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.0
2019;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None;None;None;None;None
2020;Poznan University of Economics and Business;Multidisciplinary;0.0;2.0;1.0;0.0;0.0;66.66667;33.333336;0.0
2021;Poznan University of Economics and Business;Multidisciplinary;0.0;1.0;4.0;0.0;0.0;20.0;80.0;0.0
2022;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;1.0;1.0;0.0;0.0;50.0;50.0
2023;Poznan University of Economics and Business;Multidisciplinary;0.0;1.0;3.0;0.0;0.0;25.0;75.0;0.0
2012;AGH University of Science and Technology;Agricultural and Biological Sciences;3.0;6.0;3.0;0.0;25.0;50.0;25.0;0.0
2013;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;3.0;9.0;1.0;7.1428576;21.428572;64.28571;7.1428576
2014;AGH University of Science and Technology;Agricultural and Biological Sciences;5.0;6.0;12.0;1.0;20.833332;25.0;50.0;4.166667
2015;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;9.0;13.0;4.0;3.7037036;33.333336;48.148148;14.814815
2016;AGH University of Science and Technology;Agricultural and Biological Sciences;9.0;15.0;18.0;2.0;20.454546;34.090908;40.909092;4.5454545
2017;AGH University of Science and Technology;Agricultural and Biological Sciences;6.0;5.0;12.0;2.0;24.0;20.0;48.0;8.0
2018;AGH University of Science and Technology;Agricultural and Biological Sciences;3.0;13.0;16.0;1.0;9.090909;39.39394;48.484848;3.030303
2019;AGH University of Science and Technology;Agricultural and Biological Sciences;13.0;11.0;21.0;7.0;25.0;21.153847;40.384613;13.461539
2020;AGH University of Science and Technology;Agricultural and Biological Sciences;8.0;14.0;20.0;3.0;17.777779;31.111113;44.444447;6.666667
2021;AGH University of Science and Technology;Agricultural and Biological Sciences;8.0;14.0;20.0;1.0;18.60465;32.55814;46.51163;2.3255813
2022;AGH University of Science and Technology;Agricultural and Biological Sciences;3.0;14.0;17.0;1.0;8.571429;40.0;48.57143;2.857143
2023;AGH University of Science and Technology;Agricultural and Biological Sciences;1.0;4.0;11.0;0.0;6.25;25.0;68.75;0.0
2012;Białystok University of Technology;Agricultural and Biological Sciences;3.0;0.0;4.0;5.0;25.0;0.0;33.333336;41.666664
2013;Białystok University of Technology;Agricultural and Biological Sciences;1.0;0.0;3.0;5.0;11.111112;0.0;33.333336;55.555557
2014;Białystok University of Technology;Agricultural and Biological Sciences;9.0;2.0;8.0;8.0;33.333336;7.4074073;29.62963;29.62963
2015;Białystok University of Technology;Agricultural and Biological Sciences;20.0;5.0;16.0;9.0;40.0;10.0;32.0;18.0
2016;Białystok University of Technology;Agricultural and Biological Sciences;17.0;8.0;15.0;6.0;36.95652;17.391304;32.608696;13.043478
2017;Białystok University of Technology;Agricultural and Biological Sciences;12.0;4.0;11.0;6.0;36.363636;12.121212;33.333336;18.181818
2018;Białystok University of Technology;Agricultural and Biological Sciences;29.0;9.0;12.0;9.0;49.152542;15.254237;20.338982;15.254237
2019;Białystok University of Technology;Agricultural and Biological Sciences;18.0;11.0;12.0;17.0;31.034481;18.965517;20.689655;29.310345
2020;Białystok University of Technology;Agricultural and Biological Sciences;18.0;7.0;13.0;11.0;36.734695;14.285715;26.530611;22.448978
2021;Białystok University of Technology;Agricultural and Biological Sciences;8.0;16.0;8.0;3.0;22.857143;45.714287;22.857143;8.571429
2022;Białystok University of Technology;Agricultural and Biological Sciences;10.0;12.0;11.0;5.0;26.31579;31.578945;28.947369;13.157895
2023;Białystok University of Technology;Agricultural and Biological Sciences;2.0;6.0;5.0;0.0;15.384616;46.153847;38.46154;0.0
2012;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;2.0;0.0;0.0;0.0;100.0;0.0
2013;Cracow University of Technology;Agricultural and Biological Sciences;1.0;2.0;3.0;0.0;16.666668;33.333336;50.0;0.0
2014;Cracow University of Technology;Agricultural and Biological Sciences;0.0;0.0;1.0;2.0;0.0;0.0;33.333336;66.66667
2015;Cracow University of Technology;Agricultural and Biological Sciences;2.0;3.0;1.0;2.0;25.0;37.5;12.5;25.0
2016;Cracow University of Technology;Agricultural and Biological Sciences;3.0;3.0;4.0;4.0;21.428572;21.428572;28.57143;28.57143
2017;Cracow University of Technology;Agricultural and Biological Sciences;3.0;3.0;3.0;1.0;30.000002;30.000002;30.000002;10.0
2018;Cracow University of Technology;Agricultural and Biological Sciences;3.0;6.0;5.0;0.0;21.428572;42.857143;35.714287;0.0
2019;Cracow University of Technology;Agricultural and Biological Sciences;9.0;5.0;7.0;5.0;34.615387;19.23077;26.923079;19.23077
2020;Cracow University of Technology;Agricultural and Biological Sciences;3.0;7.0;14.0;5.0;10.344828;24.13793;48.27586;17.241379
2021;Cracow University of Technology;Agricultural and Biological Sciences;4.0;6.0;9.0;2.0;19.047619;28.57143;42.857143;9.523809
2022;Cracow University of Technology;Agricultural and Biological Sciences;3.0;7.0;13.0;2.0;12.0;28.0;52.0;8.0
2023;Cracow University of Technology;Agricultural and Biological Sciences;0.0;5.0;9.0;0.0;0.0;35.714287;64.28571;0.0
2012;University of Białystok;Agricultural and Biological Sciences;8.0;10.0;9.0;9.0;22.222223;27.777779;25.0;25.0
2013;University of Białystok;Agricultural and Biological Sciences;10.0;23.0;9.0;1.0;23.255816;53.488373;20.930233;2.3255813
2014;University of Białystok;Agricultural and Biological Sciences;9.0;6.0;18.0;5.0;23.684212;15.789473;47.368423;13.157895
2015;University of Białystok;Agricultural and Biological Sciences;11.0;12.0;13.0;2.0;28.947369;31.578945;34.210526;5.263158
2016;University of Białystok;Agricultural and Biological Sciences;5.0;8.0;14.0;6.0;15.151516;24.242424;42.424244;18.181818
2017;University of Białystok;Agricultural and Biological Sciences;8.0;8.0;17.0;5.0;21.052631;21.052631;44.736843;13.157895
2018;University of Białystok;Agricultural and Biological Sciences;7.0;17.0;18.0;3.0;15.555556;37.77778;40.0;6.666667
2019;University of Białystok;Agricultural and Biological Sciences;11.0;16.0;23.0;4.0;20.37037;29.62963;42.592594;7.4074073
2020;University of Białystok;Agricultural and Biological Sciences;9.0;27.0;21.0;6.0;14.285715;42.857143;33.333336;9.523809
2021;University of Białystok;Agricultural and Biological Sciences;12.0;28.0;23.0;1.0;18.75;43.75;35.9375;1.5625
2022;University of Białystok;Agricultural and Biological Sciences;4.0;22.0;14.0;3.0;9.302325;51.162792;32.55814;6.9767447
2023;University of Białystok;Agricultural and Biological Sciences;5.0;7.0;6.0;3.0;23.809525;33.333336;28.57143;14.285715
2012;Warsaw University of Technology;Agricultural and Biological Sciences;2.0;4.0;8.0;0.0;14.285715;28.57143;57.14286;0.0
2013;Warsaw University of Technology;Agricultural and Biological Sciences;5.0;8.0;9.0;3.0;20.0;32.0;36.0;12.0
2014;Warsaw University of Technology;Agricultural and Biological Sciences;3.0;5.0;3.0;1.0;25.0;41.666664;25.0;8.333334
2015;Warsaw University of Technology;Agricultural and Biological Sciences;4.0;2.0;13.0;2.0;19.047619;9.523809;61.904762;9.523809
2016;Warsaw University of Technology;Agricultural and Biological Sciences;6.0;8.0;14.0;3.0;19.354837;25.80645;45.16129;9.677419
2017;Warsaw University of Technology;Agricultural and Biological Sciences;8.0;7.0;19.0;1.0;22.857143;20.0;54.285717;2.857143
2018;Warsaw University of Technology;Agricultural and Biological Sciences;9.0;12.0;27.0;2.0;18.0;24.0;54.000004;4.0
2019;Warsaw University of Technology;Agricultural and Biological Sciences;15.0;6.0;16.0;3.0;37.5;15.000001;40.0;7.5000005
2020;Warsaw University of Technology;Agricultural and Biological Sciences;8.0;12.0;8.0;5.0;24.242424;36.363636;24.242424;15.151516
2021;Warsaw University of Technology;Agricultural and Biological Sciences;4.0;11.0;20.0;4.0;10.256411;28.20513;51.282055;10.256411
2022;Warsaw University of Technology;Agricultural and Biological Sciences;5.0;20.0;15.0;1.0;12.195122;48.780487;36.585365;2.4390242
2023;Warsaw University of Technology;Agricultural and Biological Sciences;1.0;12.0;7.0;0.0;5.0;60.000004;35.0;0.0
2012;Poznan University of Economics and Business;Agricultural and Biological Sciences;0.0;0.0;3.0;0.0;0.0;0.0;100.0;0.0
2013;Poznan University of Economics and Business;Agricultural and Biological Sciences;1.0;0.0;8.0;0.0;11.111112;0.0;88.88889;0.0
2014;Poznan University of Economics and Business;Agricultural and Biological Sciences;2.0;1.0;3.0;2.0;25.0;12.5;37.5;25.0
2015;Poznan University of Economics and Business;Agricultural and Biological Sciences;8.0;5.0;7.0;3.0;34.782608;21.73913;30.434782;13.043478
2016;Poznan University of Economics and Business;Agricultural and Biological Sciences;6.0;2.0;6.0;2.0;37.5;12.5;37.5;12.5
2017;Poznan University of Economics and Business;Agricultural and Biological Sciences;6.0;4.0;4.0;3.0;35.294117;23.529411;23.529411;17.647058
2018;Poznan University of Economics and Business;Agricultural and Biological Sciences;4.0;3.0;3.0;3.0;30.769232;23.076923;23.076923;23.076923
2019;Poznan University of Economics and Business;Agricultural and Biological Sciences;7.0;7.0;14.0;3.0;22.580645;22.580645;45.16129;9.677419
2020;Poznan University of Economics and Business;Agricultural and Biological Sciences;8.0;8.0;11.0;4.0;25.80645;25.80645;35.48387;12.903225
2021;Poznan University of Economics and Business;Agricultural and Biological Sciences;5.0;9.0;15.0;1.0;16.666668;30.000002;50.0;3.3333335
2022;Poznan University of Economics and Business;Agricultural and Biological Sciences;4.0;8.0;10.0;5.0;14.814815;29.62963;37.037037;18.518518
2023;Poznan University of Economics and Business;Agricultural and Biological Sciences;2.0;4.0;1.0;1.0;25.0;50.0;12.5;12.5
2012;AGH University of Science and Technology;Arts and Humanities;1.0;1.0;2.0;0.0;25.0;25.0;50.0;0.0
2013;AGH University of Science and Technology;Arts and Humanities;2.0;3.0;2.0;4.0;18.181818;27.272728;18.181818;36.363636
2014;AGH University of Science and Technology;Arts and Humanities;1.0;4.0;2.0;0.0;14.285715;57.14286;28.57143;0.0
2015;AGH University of Science and Technology;Arts and Humanities;3.0;6.0;2.0;0.0;27.272728;54.545456;18.181818;0.0
2016;AGH University of Science and Technology;Arts and Humanities;1.0;5.0;7.0;2.0;6.666667;33.333336;46.666668;13.333334
2017;AGH University of Science and Technology;Arts and Humanities;1.0;5.0;8.0;1.0;6.666667;33.333336;53.333336;6.666667
2018;AGH University of Science and Technology;Arts and Humanities;1.0;5.0;4.0;5.0;6.666667;33.333336;26.666668;33.333336
2019;AGH University of Science and Technology;Arts and Humanities;0.0;8.0;8.0;5.0;0.0;38.095238;38.095238;23.809525
2020;AGH University of Science and Technology;Arts and Humanities;3.0;6.0;7.0;0.0;18.75;37.5;43.75;0.0
2021;AGH University of Science and Technology;Arts and Humanities;4.0;10.0;11.0;6.0;12.903225;32.258064;35.48387;19.354837
2022;AGH University of Science and Technology;Arts and Humanities;3.0;9.0;8.0;3.0;13.043478;39.130436;34.782608;13.043478
2023;AGH University of Science and Technology;Arts and Humanities;0.0;2.0;4.0;1.0;0.0;28.57143;57.14286;14.285715
2012;Białystok University of Technology;Arts and Humanities;2.0;0.0;0.0;1.0;66.66667;0.0;0.0;33.333336
2013;Białystok University of Technology;Arts and Humanities;0.0;1.0;0.0;3.0;0.0;25.0;0.0;75.0
2014;Białystok University of Technology;Arts and Humanities;1.0;0.0;3.0;1.0;20.0;0.0;60.000004;20.0
2015;Białystok University of Technology;Arts and Humanities;1.0;2.0;2.0;3.0;12.5;25.0;25.0;37.5
2016;Białystok University of Technology;Arts and Humanities;3.0;0.0;0.0;2.0;60.000004;0.0;0.0;40.0
2017;Białystok University of Technology;Arts and Humanities;1.0;1.0;2.0;1.0;20.0;20.0;40.0;20.0
2018;Białystok University of Technology;Arts and Humanities;1.0;2.0;8.0;4.0;6.666667;13.333334;53.333336;26.666668
2019;Białystok University of Technology;Arts and Humanities;1.0;0.0;0.0;2.0;33.333336;0.0;0.0;66.66667
2020;Białystok University of Technology;Arts and Humanities;1.0;1.0;1.0;1.0;25.0;25.0;25.0;25.0
2021;Białystok University of Technology;Arts and Humanities;1.0;2.0;2.0;1.0;16.666668;33.333336;33.333336;16.666668
2022;Białystok University of Technology;Arts and Humanities;2.0;0.0;1.0;0.0;66.66667;0.0;33.333336;0.0
2023;Białystok University of Technology;Arts and Humanities;None;None;None;None;None;None;None;None
2012;Cracow University of Technology;Arts and Humanities;1.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0
2013;Cracow University of Technology;Arts and Humanities;0.0;1.0;0.0;0.0;0.0;100.0;0.0;0.0
2014;Cracow University of Technology;Arts and Humanities;1.0;0.0;0.0;2.0;33.333336;0.0;0.0;66.66667
2015;Cracow University of Technology;Arts and Humanities;1.0;0.0;1.0;1.0;33.333336;0.0;33.333336;33.333336
2016;Cracow University of Technology;Arts and Humanities;1.0;0.0;1.0;1.0;33.333336;0.0;33.333336;33.333336
2017;Cracow University of Technology;Arts and Humanities;1.0;0.0;1.0;1.0;33.333336;0.0;33.333336;33.333336
2018;Cracow University of Technology;Arts and Humanities;1.0;1.0;2.0;1.0;20.0;20.0;40.0;20.0
2019;Cracow University of Technology;Arts and Humanities;4.0;2.0;5.0;14.0;16.0;8.0;20.0;56.0
2020;Cracow University of Technology;Arts and Humanities;6.0;8.0;3.0;8.0;24.0;32.0;12.0;32.0
2021;Cracow University of Technology;Arts and Humanities;10.0;18.0;9.0;8.0;22.222223;40.0;20.0;17.777779
2022;Cracow University of Technology;Arts and Humanities;4.0;15.0;3.0;5.0;14.814815;55.555557;11.111112;18.518518
2023;Cracow University of Technology;Arts and Humanities;0.0;3.0;0.0;0.0;0.0;100.0;0.0;0.0
2012;University of Białystok;Arts and Humanities;5.0;0.0;2.0;29.0;13.888889;0.0;5.555556;80.55556
2013;University of Białystok;Arts and Humanities;7.0;1.0;5.0;23.0;19.444445;2.777778;13.888889;63.88889
2014;University of Białystok;Arts and Humanities;1.0;3.0;7.0;18.0;3.4482758;10.344828;24.13793;62.068962
2015;University of Białystok;Arts and Humanities;5.0;2.0;5.0;25.0;13.513513;5.4054055;13.513513;67.567566
2016;University of Białystok;Arts and Humanities;2.0;0.0;5.0;20.0;7.4074073;0.0;18.518518;74.07407
2017;University of Białystok;Arts and Humanities;4.0;6.0;6.0;31.0;8.510638;12.765958;12.765958;65.95744
2018;University of Białystok;Arts and Humanities;1.0;10.0;3.0;23.0;2.7027028;27.027025;8.108108;62.162163
2019;University of Białystok;Arts and Humanities;2.0;7.0;4.0;82.0;2.1052632;7.3684206;4.2105265;86.31579
2020;University of Białystok;Arts and Humanities;8.0;4.0;5.0;78.0;8.421053;4.2105265;5.263158;82.10526
2021;University of Białystok;Arts and Humanities;3.0;3.0;9.0;80.0;3.1578946;3.1578946;9.473684;84.210526
2022;University of Białystok;Arts and Humanities;8.0;13.0;8.0;63.0;8.695652;14.130434;8.695652;68.478264
2023;University of Białystok;Arts and Humanities;2.0;1.0;1.0;8.0;16.666668;8.333334;8.333334;66.66667
2012;Warsaw University of Technology;Arts and Humanities;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.0
2013;Warsaw University of Technology;Arts and Humanities;2.0;1.0;1.0;1.0;40.0;20.0;20.0;20.0
2014;Warsaw University of Technology;Arts and Humanities;1.0;1.0;3.0;2.0;14.285715;14.285715;42.857143;28.57143
2015;Warsaw University of Technology;Arts and Humanities;2.0;1.0;2.0;7.0;16.666668;8.333334;16.666668;58.333332
2016;Warsaw University of Technology;Arts and Humanities;1.0;1.0;1.0;3.0;16.666668;16.666668;16.666668;50.0
2017;Warsaw University of Technology;Arts and Humanities;2.0;1.0;1.0;0.0;50.0;25.0;25.0;0.0
2018;Warsaw University of Technology;Arts and Humanities;0.0;3.0;6.0;9.0;0.0;16.666668;33.333336;50.0
2019;Warsaw University of Technology;Arts and Humanities;3.0;3.0;3.0;10.0;15.789473;15.789473;15.789473;52.63158
2020;Warsaw University of Technology;Arts and Humanities;2.0;1.0;2.0;10.0;13.333334;6.666667;13.333334;66.66667
2021;Warsaw University of Technology;Arts and Humanities;4.0;7.0;3.0;16.0;13.333334;23.333334;10.0;53.333336
2022;Warsaw University of Technology;Arts and Humanities;7.0;11.0;10.0;12.0;17.5;27.5;25.0;30.000002
2023;Warsaw University of Technology;Arts and Humanities;4.0;6.0;2.0;0.0;33.333336;50.0;16.666668;0.0
2012;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None;None;None;None;None
2013;Poznan University of Economics and Business;Arts and Humanities;None;None;None;None;None;None;None;None
2014;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;4.0;0.0;0.0;0.0;100.0
2015;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;0.0;3.0;0.0;0.0;0.0;100.0
2016;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;1.0;1.0;0.0;0.0;50.0;50.0
2017;Poznan University of Economics and Business;Arts and Humanities;1.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0
2018;Poznan University of Economics and Business;Arts and Humanities;0.0;1.0;0.0;2.0;0.0;33.333336;0.0;66.66667
2019;Poznan University of Economics and Business;Arts and Humanities;0.0;1.0;0.0;2.0;0.0;33.333336;0.0;66.66667
2020;Poznan University of Economics and Business;Arts and Humanities;0.0;1.0;2.0;1.0;0.0;25.0;50.0;25.0
2021;Poznan University of Economics and Business;Arts and Humanities;2.0;0.0;1.0;3.0;33.333336;0.0;16.666668;50.0
2022;Poznan University of Economics and Business;Arts and Humanities;0.0;2.0;3.0;1.0;0.0;33.333336;50.0;16.666668
2023;Poznan University of Economics and Business;Arts and Humanities;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.0
2012;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;6.0;19.0;28.0;1.0;11.111112;35.185184;51.851852;1.8518518
2013;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;10.0;20.0;20.0;8.0;17.241379;34.482758;34.482758;13.793103
2014;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;8.0;16.0;26.0;3.0;15.094339;30.188679;49.056606;5.6603775
2015;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;11.0;20.0;27.0;5.0;17.460318;31.746033;42.857143;7.936508
2016;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;18.0;22.0;32.0;4.0;23.684212;28.947369;42.105263;5.263158
2017;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;8.0;21.0;33.0;0.0;12.903225;33.870968;53.22581;0.0
2018;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;14.0;23.0;28.0;6.0;19.71831;32.394367;39.43662;8.450704
2019;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;14.0;20.0;27.0;4.0;21.538462;30.769232;41.538464;6.1538463
2020;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;18.0;34.0;39.0;8.0;18.181818;34.343433;39.39394;8.080808
2021;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;38.0;48.0;72.0;5.0;23.312883;29.447853;44.17178;3.0674846
2022;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;20.0;52.0;64.0;3.0;14.38849;37.410072;46.043167;2.1582735
2023;AGH University of Science and Technology;Biochemistry, Genetics and Molecular Biology;7.0;19.0;17.0;1.0;15.909091;43.18182;38.636364;2.2727273
2012;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;0.0;2.0;1.0;0.0;0.0;66.66667;33.333336
2013;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;0.0;2.0;5.0;0.0;0.0;28.57143;71.42857;0.0
2014;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;4.0;3.0;4.0;0.0;36.363636;27.272728;36.363636;0.0
2015;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;1.0;6.0;3.0;0.0;10.0;60.000004;30.000002;0.0
2016;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;5.0;6.0;9.0;1.0;23.809525;28.57143;42.857143;4.7619047
2017;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;1.0;5.0;12.0;2.0;5.0;25.0;60.000004;10.0
2018;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;8.0;10.0;17.0;11.0;17.391304;21.73913;36.95652;23.913044
2019;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;8.0;6.0;13.0;1.0;28.57143;21.428572;46.42857;3.5714288
2020;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;5.0;8.0;10.0;1.0;20.833332;33.333336;41.666664;4.166667
2021;Białystok University of Technology;Biochemistry, Genetics and Molecular Biology;5.0;9.0;12.0;3.0;17.241379;31.034481;41.37931;10.344828
